rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
0.360	0.3602267573696146	0.40522675736961467	114	119	116	116	82.37	116	116	116	116	82.3	0	0	0	0	0	0	0	31	31	0	0.04500000000000004	0	0	0	0.3602	0	67.7	0	0	1	0	1	0	0
0.740	0.7402267573696145	0.9502267573696147	149	159	152	153	87.16	152	152	152	152	87.01	0	0	4.72	0	0	0	0	74	74	0	0.2100000000000002	0	0	0	0.335	0	67.3	0	0	1	0	0	0	0
1.085	1.0852267573696144	1.145226757369613	131	137	134	134	84.85	134	134	134	134	84.92	0	0	-2.06	0	0	0	0	54	54	0	0.05999999999999872	0	0	0	0.135	0	63.6	0	0	1	0	0	0	0
1.270	1.2702267573696144	1.3652267573696124	109	121	115	115	82.18	115	115	115	115	82.29	0	0	-2.5	0	0	0	0	30	30	0	0.09499999999999797	0	0	0	0.125	0	58.8	0	0	1	0	0	0	0
1.455	1.4552267573696145	1.5052267573696134	112	120	114	115	82.15	114	114	114	114	82.03	0	0	-0.11	0	0	0	0	29	29	0	0.049999999999998934	0	0	0	0.09	0	67	0	0	1	0	0	0	0
1.535	1.5352267573696146	1.7252267573696105	125	141	136	136	85.08	136	136	136	136	85.15	0	0	3.16	0	0	0	0	56	56	0	0.18999999999999595	0	0	0	0.03	0	70.2	0	0	1	0	0	0	0
1.930	1.9302267573696146	1.9702267573696137	113	115	114	114	82.04	114	114	114	114	82.06	0	0	-2.99	0	0	0	0	29	29	0	0.03999999999999915	0	0	0	0.205	0	54	0	0	1	0	0	0	0
2.075	2.0752267573696144	2.135226757369613	133	139	137	137	85.21	137	137	137	137	85.24	0	0	3.24	0	0	0	0	57	57	0	0.05999999999999872	0	0	0	0.105	0	62.5	0	0	1	0	0	0	0
2.225	2.2252267573696143	2.4152267573696102	113	127	122	121	83.15	127	113	113	127	84	-1	-2.11	-1.18	0	-2.11	2.11	0	46	27	-19	0.18999999999999595	0	0	0	0.09	0	60	0	0	1	0	0	0	0
2.510	2.5102267573696144	2.6352267573696118	102	109	105	105	80.64	105	105	105	105	80.72	0	0	-1.12	0	0	0	0	16	16	0	0.12499999999999734	0	0	0	0.095	0	62.1	0	0	1	0	0	0	0
2.860	2.8602267573696145	2.9102267573696134	112	119	115	116	82.31	115	115	115	115	82.21	0	0	1.64	0	0	0	0	30	30	0	0.049999999999998934	0	0	0	0.225	0	61.4	0	0	1	0	0	0	0
2.930	2.9302267573696144	3.2152267573696083	102	122	109	111	81.65	121	104	104	121	83.06	-1	-2.52	0.91	0	-2.52	2.52	0	38	14	-24	0.2849999999999939	0	0	0	0.02	0	61.2	0	0	1	1	0	0.74	0
3.955	3.9552267573696147	4.030226757369613	148	166	161	160	87.9	161	161	161	161	88.03	0	0	7.62	0	0	0	0	83	83	0	0.0749999999999984	0	0	0	0.74	0	65.2	0	0	1	0	1	0	0
4.085	4.085226757369615	4.120226757369614	151	186	176	172	89.21	176	176	176	176	89.52	0	0	1.55	0	0	0	0	97	97	0	0.034999999999999254	0	0	0	0.055	0	65.9	0	0	1	0	0	0	0
4.135	4.135226757369615	4.210226757369614	112	141	122	123	83.44	141	112	112	141	85.73	-1	-3.91	-3.79	0	-3.91	3.91	0	62	26	-37	0.0749999999999984	0	0	0	0.015	0	66.2	0	0	1	1	0	0.87	0
5.080	5.080226757369615	5.190226757369612	119	125	123	123	83.34	123	123	123	123	83.38	0	0	1.69	0	0	0	0	41	41	0	0.10999999999999766	0	0	0	0.87	0	59.9	0	0	1	0	1	0	0
5.360	5.360226757369615	5.410226757369614	172	175	174	174	89.37	174	174	174	174	89.38	0	0	6.07	0	0	0	0	95	95	0	0.049999999999998934	0	0	0	0.17	0	68.2	0	0	1	0	0	0	0
5.640	5.640226757369615	5.690226757369614	124	135	130	130	84.29	130	130	130	130	84.3	0	0	-5.01	0	0	0	0	49	49	0	0.049999999999998934	0	0	0	0.23	0	62.7	0	0	1	0	0	0	0
5.880	5.880226757369615	6.100226757369611	111	113	112	112	81.78	112	112	112	112	81.77	0	0	-2.5	0	0	0	0	26	26	0	0.2199999999999953	0	0	0	0.19	0	64.1	0	0	1	1	0	0.73	0
6.830	6.830226757369615	6.915226757369613	106	113	109	109	81.37	109	109	109	109	81.24	0	0	-0.45	0	0	0	0	21	21	0	0.08499999999999819	0	0	0	0.73	0	58	0	0	1	0	1	0	0
7.205	7.205226757369615	7.41022675736961	151	171	167	165	88.43	169	154	154	169	88.86	-1	-1.64	7.64	0	-1.64	1.64	0	91	76	-15	0.20499999999999563	0	0	0	0.29	0	66.1	0	0	1	0	0	0	0
7.630	7.630226757369615	7.695226757369614	139	142	139	140	85.64	139	139	139	139	85.52	0	0	-1.68	0	0	0	0	60	60	0	0.06499999999999861	0	0	0	0.22	0	66.6	0	0	1	0	0	0	0
7.735	7.735226757369615	7.865226757369612	114	137	127	126	83.79	137	114	114	137	85.3	-1	-3.26	-0.13	0	-3.26	3.26	0	57	29	-29	0.12999999999999723	0	0	0	0.04	0	63.1	0	0	1	0	0	0	0
8.115	8.115226757369616	8.445226757369667	132	141	138	138	85.31	134	133	133	134	84.9	-1	-0.2	2.91	0	-0.2	0.2	0	54	53	-2	0.3300000000000516	0	0	0	0.25	0	63.1	0	0	1	1	0	0.46	0
8.905	8.905226757369615	8.990226757369628	139	145	144	143	86.03	144	144	144	144	86.07	0	0	1.41	0	0	0	0	65	65	0	0.08500000000001329	0	0	0	0.46	0	61.5	0	0	1	0	1	0	0
9.085	9.085226757369615	9.175226757369629	114	118	116	116	82.34	116	116	116	116	82.32	0	0	-3.72	0	0	0	0	31	31	0	0.09000000000001407	0	0	0	0.095	0	59.3	0	0	1	0	0	0	0
