rowLabel	nucl_t1	nucl_t2	f0_min	f0_max	f0_median	f0_mean	f0_meanST	f0_start	f0_end	lopitch	hipitch	hipitchST	dynamic	intrasyllab	intersyllab	up	down	trajectory	f0_discont	prnp_start	prnp_end	prnp_intra	nucl_dur	syll_dur	vowel_dur	rhyme_dur	gap_left	loudness	int_peak	promL2D_nucldur	hesitation	speaker_id	before_pause	after_pause	pause_dur	onset_dur
1.079	1.079274376417234	1.1542743764172323	168	176	171	171	89.04	171	171	171	171	89.02	0	0	0	0	0	0	0	34	34	0	0.0749999999999984	0	0	0	1.0793	0	62	0	0	1	0	1	0	0
1.199	1.199274376417234	1.4092743764172295	168	175	170	170	89.01	170	170	170	170	89	0	0	-0.009	0	0	0	0	33	33	0	0.20999999999999552	0	0	0	0.045	0	64.3	0	0	1	0	0	0	0
1.474	1.474274376417234	1.5792743764172317	198	202	201	201	91.88	201	201	201	201	91.9	0	0	2.99	0	0	0	0	55	55	0	0.10499999999999776	0	0	0	0.065	0	65.9	0	0	1	0	0	0	0
1.664	1.664274376417234	1.7992743764172312	202	210	208	207	92.41	208	208	208	208	92.42	0	0	0.61	0	0	0	0	60	60	0	0.13499999999999712	0	0	0	0.085	0	65	0	0	1	0	0	0	0
1.834	1.834274376417234	1.9342743764172319	203	206	205	205	92.22	205	205	205	205	92.23	0	0	-0.18	0	0	0	0	58	58	0	0.09999999999999787	0	0	0	0.035	0	60.8	0	0	1	1	0	0.385	0
2.319	2.319274376417234	2.5842743764172282	240	280	273	271	97.05	273	273	273	273	97.14	0	0	4.98	0	0	0	0	96	96	0	0.26499999999999435	0	0	0	0.385	0	63.9	0	0	1	0	1	0	0
2.674	2.674274376417234	2.804274376417231	239	281	274	269	96.9	274	274	274	274	97.18	0	0	0.07	0	0	0	0	96	96	0	0.12999999999999723	0	0	0	0.09	0	63.1	0	0	1	0	0	0	0
2.894	2.894274376417234	2.954274376417233	252	276	270	268	96.83	270	270	270	270	96.98	0	0	-0.19	0	0	0	0	94	94	0	0.05999999999999872	0	0	0	0.09	0	61.4	0	0	1	0	0	0	0
2.994	2.994274376417234	3.049274376417233	200	217	205	205	92.23	205	205	205	205	92.17	0	0	-4.75	0	0	0	0	58	58	0	0.05499999999999883	0	0	0	0.04	0	63.9	0	0	1	0	0	0	0
3.069	3.069274376417234	3.154274376417232	206	213	212	211	92.67	212	212	212	212	92.77	0	0	0.62	0	0	0	0	62	62	0	0.08499999999999819	0	0	0	0.02	0	63.3	0	0	1	0	0	0	0
3.474	3.474274376417234	3.7842743764172275	169	179	173	174	89.37	173	173	173	173	89.31	0	0	-3.43	0	0	0	0	35	35	0	0.3099999999999934	0	0	0	0.32	0	61.2	0	0	1	0	0	0	0
3.974	3.974274376417234	4.029274376417233	137	143	138	139	85.55	138	138	138	138	85.41	0	0	-3.8	0	0	0	0	6	6	0	0.05499999999999927	0	0	0	0.19	0	63.2	0	0	1	0	0	0	0
4.154	4.154274376417234	4.209274376417233	154	155	154	155	87.31	154	154	154	154	87.3	0	0	2	0	0	0	0	20	20	0	0.05499999999999883	0	0	0	0.125	0	55.7	0	0	1	1	0	0.395	0
4.604	4.6042743764172345	5.059274376417225	151	160	153	153	87.17	155	153	153	155	87.41	-1	-0.23	0.21	0	-0.23	0.23	0	21	19	-2	0.4549999999999903	0	0	0	0.395	0	58.3	0	0	1	1	1	0.7	0
5.759	5.759274376417235	5.949274376417231	134	142	138	138	85.37	138	138	138	138	85.34	0	0	-1.75	0	0	0	0	6	6	0	0.18999999999999595	0	0	0	0.7	0	63.4	0	0	1	0	1	0	0
6.174	6.174274376417235	6.304274376417232	169	173	171	171	89.03	171	171	171	171	89.02	0	0	3.72	0	0	0	0	34	34	0	0.12999999999999723	0	0	0	0.225	0	63.2	0	0	1	1	0	0.47	0
6.774	6.774274376417234	6.844274376417233	164	175	172	171	89.05	172	172	172	172	89.12	0	0	0.1	0	0	0	0	35	35	0	0.06999999999999851	0	0	0	0.47	0	62.3	0	0	1	0	1	0	0
6.894	6.8942743764172345	6.949274376417233	169	213	186	189	90.83	186	186	186	186	90.56	0	0	1.44	0	0	0	0	45	45	0	0.05499999999999883	0	0	0	0.05	0	61.3	0	0	1	0	0	0	0
7.014	7.014274376417235	7.109274376417233	192	215	196	198	91.6	196	196	196	196	91.38	0	0	0.91	0	0	0	0	52	52	0	0.09499999999999797	0	0	0	0.065	0	63.4	0	0	1	0	0	0	0
7.204	7.204274376417234	7.224274376417234	199	208	201	201	91.88	201	201	201	201	91.88	0	0	0.51	0	0	0	0	55	55	0	0.019999999999999574	0	0	0	0.095	0	61.7	0	0	1	0	0	0	0
7.359	7.359274376417234	7.459274376417232	184	203	197	195	91.36	197	197	197	197	91.55	0	0	-0.26	0	0	0	0	53	53	0	0.09999999999999787	0	0	0	0.135	0	61.6	0	0	1	0	0	0	0
7.644	7.6442743764172345	7.744274376417232	170	175	172	172	89.19	172	172	172	172	89.19	0	0	-2.27	0	0	0	0	35	35	0	0.09999999999999787	0	0	0	0.185	0	62.6	0	0	1	0	0	0	0
7.789	7.789274376417235	7.874274376417233	172	175	174	174	89.33	174	174	174	174	89.36	0	0	0.24	0	0	0	0	36	36	0	0.08499999999999819	0	0	0	0.045	0	61.3	0	0	1	0	0	0	0
8.019	8.019274376417235	8.229274376417267	144	171	159	158	87.74	149	168	149	168	88.75	1	2.64	-2.59	2.64	0	2.64	0	16	32	15	0.21000000000003283	0	0	0	0.145	0	60.2	0	0	1	0	0	0	0
8.404	8.404274376417236	8.539274376417257	130	161	141	142	85.91	161	134	134	161	88.01	-1	-3.1	-0.7	0	-3.1	3.1	0	26	2	-25	0.1350000000000211	0	0	0	0.175	0	59.4	0	0	1	0	0	0	0
8.589	8.589274376417235	8.62427437641724	133	135	135	135	84.92	135	135	135	135	84.93	0	0	0.14	0	0	0	0	3	3	0	0.03500000000000547	0	0	0	0.05	0	53.4	0	0	1	0	0	0	0
8.864	8.864274376417235	9.109274376417273	135	140	137	137	85.24	137	137	137	137	85.2	0	0	0.28	0	0	0	0	5	5	0	0.2450000000000383	0	0	0	0.24	0	55.5	0	0	1	1	0	0.355	0
9.464	9.464274376417235	9.68427437641727	137	140	138	138	85.4	138	138	138	138	85.38	0	0	0.2	0	0	0	0	6	6	0	0.2200000000000344	0	0	0	0.355	0	56.3	0	0	1	0	1	0	0
9.769	9.769274376417236	9.969274376417268	133	139	136	136	85.11	136	136	136	136	85.07	0	0	-0.23	0	0	0	0	4	4	0	0.20000000000003126	0	0	0	0.085	0	53.9	0	0	1	1	0	0.039	0
