"","Lang","Family","Longitude","Latitude","ID"
"2","Hebrew","Afro-Asiatic",32.5705102572168,28.6605102572168,1
"39","Tunisian Arabic","Afro-Asiatic",9.56,33.8,2
"41","Palestinian Arabic","Afro-Asiatic",38.08,31.56,3
"33","Ainu","Ainu",142.46,43.63,4
"14","Isoko","Atlantic-Congo",8.69948974278318,7.97948974278318,5
"15","Yoruba","Atlantic-Congo",3.67,2.25102051443364,6
"19","Swahili","Atlantic-Congo",40.0694897427832,-5.81051025721682,7
"44","Igbo","Atlantic-Congo",12.1289794855664,-0.268979485566356,8
"47","Zulu","Atlantic-Congo",27.7505102572168,-31.3494897427832,9
"49","Tiriki","Atlantic-Congo",39.7189794855664,5.11897948556636,10
"50","Lulogooli","Atlantic-Congo",34.73,0.0899999999999999,11
"52","Lunyore","Atlantic-Congo",29.0210205144336,5.77897948556636,12
"53","Kiwahili","Atlantic-Congo",35.1705102572168,-10.7094897427832,13
"56","Changana","Atlantic-Congo",29.3605102572168,-21.1305102572168,14
"58","Ronga","Atlantic-Congo",32.62,-26.73,15
"61","Akan (Asante Twi)","Atlantic-Congo",3.56897948556636,11.2489794855664,16
"62","Akan (Fante)","Atlantic-Congo",-3.77948974278318,8.79948974278318,17
"11","Te Reo Māori","Austronesian",176.54,-38.29,18
"35","Rukai","Austronesian",120.84,22.77,19
"66","ʻŌlelo Hawaiʻi","Austronesian",-155.43,19.63,20
"8","Kannada","Dravidian",73.6705102572168,16.0394897427832,21
"63","Tamil","Dravidian",78.83,10.52,22
"3","Yiddish","Indo-European",12.26,51.69,23
"7","Hindi","Indo-European",77,25,24
"9","Russian","Indo-European",50,59,25
"10","Greek","Indo-European",25.5794897427832,35.9105102572168,26
"13","Spanish","Indo-European",-3.56948974278318,37.9905102572168,27
"17","Marathi","Indo-European",79.1194897427832,20.3794897427832,28
"18","Farsi","Indo-European",53.3,32.9,29
"22","Catalan","Indo-European",1.57,41.45,30
"23","Danish","Indo-European",6.91051025721682,57.3194897427832,31
"24","German","Indo-European",14.9194897427832,46.2005102572168,32
"25","Norwegian","Indo-European",13.1594897427832,62.3694897427832,33
"26","Portuguese","Indo-European",-10.5494897427832,42.3594897427832,34
"27","Polish","Indo-European",18.63,51.84,35
"29","Ukrainian","Indo-European",32.3994897427832,52.2494897427832,36
"30","Dutch","Indo-European",5,52,37
"31","Italian","Indo-European",10.2005102572168,40.6005102572168,38
"54","French","Indo-European",2,48,39
"55","Bulgarian","Indo-European",27.4994897427832,45.8094897427832,40
"59","Swedish","Indo-European",19.8394897427832,57.3505102572168,41
"60","Macedonian","Indo-European",21.79,41.6,42
"67","English","Indo-European",-1,53,43
"38","Cherokee","Iroquoian",-83.16,35.47,44
"1","Japanese","Japonic",135,35,45
"34","Amami","Japonic",129.45,28.21,46
"48","Georgian","Kartvelian",41.3405102572168,44.2994897427832,47
"64","Korean","Koreanic",126.98,37.54,48
"4","Luo","Nilotic",29.5910205144336,-5.82897948556636,49
"20","Maasai","Nilotic",36.46,-31.4,50
"46","Ngarigu","Pama-Nyungan",149.13,-36.23,51
"5","Cantonese","Sino-Tibetan",113.2,23.01,52
"6","Mandarin","Sino-Tibetan",116.23,40.02,53
"36","Burmese","Sino-Tibetan",93.97,20.79,54
"37","Mbyá Guaraní","Tupian",-52.71,-26.02,55
"21","Turkish","Turkic",32.87,39.87,56
"32","Azerbaijani","Turkic",46.47,40.98,57
