"","Name","Lang","LangAdditional","Genus","Family","Longitude","Latitude","Place","Flag","ID","FamilyTmp"
"73","Nori Jacoby","Modern Hebrew","Modern Hebrew","Semitic","Afro-Asiatic",37.8594623110646,34.4140693110646,"Jerusalem",1,1,"Afro-Asiatic"
"35","Limor Raviv","Modern Hebrew","Modern Hebrew","Semitic","Afro-Asiatic",32.2137248889354,28.1666733889354,"Tel Aviv",1,2,"Afro-Asiatic"
"64","Samira Farwaneh","Palestinian Arabic","South Levantine Arabic","Semitic","Afro-Asiatic",44.8360146889354,26.6659096889354,"",1,3,"Afro-Asiatic"
"54","Iyadh EL KAHLA","Tunisian Arabic","Tunisian Arabic","Semitic","Afro-Asiatic",12.9734293110646,28.9418342668062,"",1,4,"Afro-Asiatic"
"77","Utae Ehara","Aynu","Hokkaido Ainu","Ainu","Ainu",142.405206211065,38.3285900110646,"",1,5,"Ainu"
"60","Joel Maripil","Mapudungun","Mapudungun","Araucanian","Araucanian",-76.0425213110646,-36.1413786889354,"Saavedra",1,6,"Araucanian"
"96","Neddiel Elcie Muñoz Millalonco","Tsesungún","Huilliche","Araucanian","Araucanian",-76.4105903110646,-45.1256633110646,"Castro",1,7,"Araucanian"
"3","Mark Lenini Parselelo","Kiswahili","Swahili","Bantu","Atlantic-Congo",42.1134476221292,3.99943662212918,"",1,8,"Atlantic-Congo: Bantu"
"69","Cristiano Tsope","Ronga","Ronga","Bantu","Atlantic-Congo",32.56745,-25.966213,"",1,9,"Atlantic-Congo: Bantu"
"53","Florence Nweke","Yoruba","Yoruba","Defoid","Atlantic-Congo",6.03993081106459,9.10080881106459,"",1,10,"Atlantic-Congo: Defoid"
"62","Adwoa Arhine","Fante","Akan","Tano","Atlantic-Congo",1.40267201106459,2.46171568893541,"",1,11,"Atlantic-Congo: Tano"
"8","Jehoshaphat Philip Sarbah","Twi","Akan","Tano","Atlantic-Congo",-4.33515581106459,8.85729331106459,"",1,12,"Atlantic-Congo: Tano"
"51","Latyr Sy","Wolof","Wolof","Wolof","Atlantic-Congo",-17.3983563,14.6672047,"",1,13,"Atlantic-Congo: Wolof"
"92","I putu gede setiawan","Balinese","Balinese","Malayo-Sumbawan","Austronesian",115.23355,-8.67218,"",1,14,"Austronesian"
"99","Lrawbalrate","Rukai","Rukai","Rukai","Austronesian",120.73176,17.4538873778708,"",1,15,"Austronesian"
"72","Suzanne Purdy","Te Reo Māori","Maori","Oceanic","Austronesian",177.592847111065,-33.4007583989354,"Auckland",1,16,"Austronesian"
"98","Rob Throne","Te Reo Māori","Maori","Oceanic","Austronesian",174.77623,-41.286461,"Wellington",1,17,"Austronesian"
"33","Aritz Irurtzun","Euskara","Basque","Basque","Basque",-9.83586723319377,35.3752731668062,"Errenteria",1,18,"Basque"
"37","Nerea Bello Sagarzazu","Euskara","Basque","Basque","Basque",-4.44299721106459,40.7214051889354,"Hondarribia",1,19,"Basque"
"39","Urise Kuikuro","língua Kuikuro","Kuikúro-Kalapálo","Cariban","Cariban",-52.5476,-12.3212,"",1,20,"Cariban"
"49","Shantala Hegde","Kannada","Kannada","Dravidian","Dravidian",77.590082,12.9767936,"",1,21,"Dravidian"
"55","Rytis Ambrazevičius","Lithuanian","Lithuanian","Baltic","Indo-European",25.2829111,54.6870458,"",1,22,"Indo-European: Baltic"
"38","Tadhg Ó Meachair","Gaeilge/Irish","Irish","Celtic","Indo-European",-8.90602451106459,55.9955158110646,"",1,23,"Indo-European: Celtic"
"7","Niels Chr. Hansen","Danish","Danish","Germanic","Indo-European",12.1086079,61.0450235221292,"",1,24,"Indo-European: Germanic"
"89","Mark van Tongeren","Dutch","Dutch","Germanic","Indo-European",7.26605131106459,54.9968143110646,"Heemstede",1,25,"Indo-European: Germanic"
"86","Kayla Kolff","Dutch","Dutch","Germanic","Indo-European",31.5304423778708,-6.58356862212918,"Nairobi",1,26,"Indo-European: Germanic"
"50","Adam Tierney","English","English","Germanic","Indo-European",-88.4153130810646,38.7304846489354,"Indiana, USA",1,27,"Indo-European: Germanic"
"90","Christina Vanden Bosch der Nederlanden","English","English","Germanic","Indo-European",-85.670174,48.2569646221292,"Michigan",1,28,"Indo-European: Germanic"
"1","Patrick Savage","English","English","Germanic","Indo-European",-122.459556311065,42.1753843110646,"Nevada, USA",1,29,"Indo-European: Germanic"
"2","John McBride","English","English","Germanic","Indo-European",-14.2728239331938,62.1154039331938,"Newry, Ireland",1,30,"Indo-European: Germanic"
"78","William Tecumseh Fitch","English","English","Germanic","Indo-European",-118.094383688935,50.3968273110646,"Washington",1,31,"Indo-European: Germanic"
"9","Peter Pfordresher","English","English","Germanic","Indo-European",-69.0992887668062,30.9577828668062,"Washington, USA",1,32,"Indo-European: Germanic"
"84","Yannick Jadoul","Flemish","Dutch","Germanic","Indo-European",-0.895032022129182,51.2198264,"Beveren",1,33,"Indo-European: Germanic"
"16","Felix Haiduk","German","German","Germanic","Indo-European",9.72898158893541,48.6948807889354,"",1,34,"Indo-European: Germanic"
"5","Ulvhild Færøvik","Norwegian","Norwegian","Germanic","Indo-European",2.67630268893541,63.0370133110646,"",1,35,"Indo-European: Germanic"
"36","Daniel Fredriksson","Svenska (Swedish)","Swedish","Germanic","Indo-European",18.2780572110646,57.9612554889354,"",1,36,"Indo-European: Germanic"
"21","Emmanouil Benetos","Greek","Greek","Greek","Indo-European",27.7800988110646,32.6942613889354,"",1,37,"Indo-European: Greek"
