time,voice_1
0,0
0.005,0
0.01,0
0.015,0
0.02,0
0.025,0
0.03,0
0.035,0
0.04,0
0.045,0
0.05,0
0.055,0
0.06,0
0.065,0
0.07,0
0.075,0
0.08,0
0.085,0
0.09,0
0.095,0
0.1,0
0.105,0
0.11,0
0.115,0
0.12,0
0.125,0
0.13,0
0.135,0
0.14,0
0.145,0
0.15,0
0.155,0
0.16,0
0.165,0
0.17,0
0.175,0
0.18,0
0.185,0
0.19,0
0.195,0
0.2,0
0.205,0
0.21,0
0.215,0
0.22,0
0.225,0
0.23,0
0.235,0
0.24,0
0.245,0
0.25,0
0.255,0
0.26,0
0.265,0
0.27,0
0.275,0
0.28,0
0.285,0
0.29,0
0.295,0
0.3,0
0.305,0
0.31,0
0.315,0
0.32,0
0.325,0
0.33,0
0.335,0
0.34,0
0.345,0
0.35,0
0.355,0
0.36,0
0.365,0
0.37,0
0.375,0
0.38,0
0.385,0
0.39,0
0.395,0
0.4,0
0.405,0
0.41,0
0.415,0
0.42,0
0.425,0
0.43,0
0.435,0
0.44,0
0.445,0
0.45,0
0.455,0
0.46,0
0.465,0
0.47,0
0.475,0
0.48,0
0.485,0
0.49,0
0.495,0
0.5,0
0.505,0
0.51,0
0.515,0
0.52,0
0.525,0
0.53,0
0.535,0
0.54,0
0.545,0
0.55,0
0.555,0
0.56,0
0.565,0
0.57,0
0.575,0
0.58,0
0.585,0
0.59,0
0.595,0
0.6,0
0.605,0
0.61,0
0.615,0
0.62,0
0.625,0
0.63,0
0.635,0
0.64,0
0.645,0
0.65,0
0.655,0
0.66,0
0.665,0
0.67,0
0.675,0
0.68,0
0.685,0
0.69,0
0.695,0
0.7,0
0.705,0
0.71,0
0.715,0
0.72,0
0.725,0
0.73,0
0.735,0
0.74,0
0.745,0
0.75,0
0.755,0
0.76,0
0.765,0
0.77,0
0.775,0
0.78,0
0.785,0
0.79,0
0.795,0
0.8,0
0.805,0
0.81,0
0.815,0
0.82,0
0.825,0
0.83,0
0.835,0
0.84,0
0.845,0
0.85,0
0.855,0
0.86,0
0.865,0
0.87,0
0.875,0
0.88,234.432110358267
0.885,237.156080269428
0.89,238.529911466312
0.895,238.529911466312
0.9,239.911701186357
0.905,242.699340876024
0.91,245.519371378649
0.915,248.372169057349
0.92,251.25811464837
0.925,257.130994683474
0.93,266.198699628244
0.935,272.420799283037
0.94,278.788333623154
0.945,285.304702023222
0.95,290.291740370037
0.955,295.365950611658
0.96,298.797937642011
0.965,302.26980244078
0.97,305.782008365314
0.975,309.335024156917
0.98,311.126983722081
0.985,312.929324003402
0.99,316.56538760238
0.995,318.399232236883
1,320.243700225281
1.005,322.098853108038
1.01,323.964752782116
1.015,323.964752782116
1.02,325.841461503044
1.025,327.729041886995
1.03,327.729041886995
1.035,329.62755691287
1.04,329.62755691287
1.045,329.62755691287
1.05,329.62755691287
1.055,329.62755691287
1.06,329.62755691287
1.065,329.62755691287
1.07,329.62755691287
1.075,331.537069924407
1.08,331.537069924407
1.085,331.537069924407
1.09,333.457644632288
1.095,333.457644632288
1.1,335.389345116268
1.105,337.332235827312
1.11,337.332235827312
1.115,339.286381589747
1.12,341.251847603422
1.125,343.228699445884
1.13,345.21700307457
1.135,347.216824829002
1.14,349.228231433004
1.145,351.251289996926
1.15,353.286068019886
1.155,355.332633392018
1.16,357.391054396744
1.165,359.461399713042
1.17,361.543738417748
1.175,361.543738417748
1.18,363.638139987853
1.185,363.638139987853
1.19,363.638139987853
1.195,363.638139987853
1.2,363.638139987853
1.205,363.638139987853
1.21,361.543738417748
1.215,361.543738417748
1.22,361.543738417748
1.225,359.461399713042
1.23,359.461399713042
1.235,359.461399713042
1.24,359.461399713042
1.245,357.391054396744
1.25,357.391054396744
1.255,359.461399713042
1.26,359.461399713042
1.265,359.461399713042
1.27,359.461399713042
1.275,359.461399713042
1.28,361.543738417748
1.285,361.543738417748
1.29,361.543738417748
1.295,361.543738417748
1.3,361.543738417748
1.305,361.543738417748
1.31,361.543738417748
1.315,359.461399713042
1.32,359.461399713042
1.325,357.391054396744
1.33,355.332633392018
1.335,353.286068019886
1.34,353.286068019886
1.345,351.251289996926
1.35,351.251289996926
1.355,351.251289996926
1.36,351.251289996926
1.365,353.286068019886
1.37,353.286068019886
1.375,353.286068019886
1.38,353.286068019886
1.385,353.286068019886
1.39,351.251289996926
1.395,349.228231433004
1.4,347.216824829002
1.405,345.21700307457
1.41,345.21700307457
1.415,347.216824829002
1.42,349.228231433004
1.425,351.251289996926
1.43,355.332633392018
1.435,355.332633392018
1.44,357.391054396744
1.445,357.391054396744
1.45,359.461399713042
1.455,359.461399713042
1.46,359.461399713042
1.465,359.461399713042
1.47,357.391054396744
1.475,357.391054396744
1.48,355.332633392018
1.485,353.286068019886
1.49,351.251289996926
1.495,347.216824829002
1.5,345.21700307457
1.505,341.251847603422
1.51,341.251847603422
1.515,339.286381589747
1.52,339.286381589747
1.525,339.286381589747
1.53,343.228699445884
1.535,347.216824829002
1.54,349.228231433004
1.545,351.251289996926
1.55,353.286068019886
1.555,351.251289996926
1.56,351.251289996926
1.565,351.251289996926
1.57,351.251289996926
1.575,349.228231433004
1.58,349.228231433004
1.585,349.228231433004
1.59,349.228231433004
1.595,347.216824829002
1.6,347.216824829002
1.605,347.216824829002
1.61,347.216824829002
1.615,347.216824829002
1.62,347.216824829002
