ID,Name,Language,Glottolog Name,Language Family,Genus,Longitude,Latitude,Place Label
1,Nori Jacoby,Modern Hebrew,Modern Hebrew,Afro-Asiatic,Semitic,37.85946231,34.41406931,Jerusalem
2,Limor Raviv,Modern Hebrew,Modern Hebrew,Afro-Asiatic,Semitic,32.21372489,28.16667339,Tel Aviv
3,Samira Farwaneh,Palestinian Arabic,South Levantine Arabic,Afro-Asiatic,Semitic,44.83601469,26.66590969,
4,Iyadh EL KAHLA,Tunisian Arabic,Tunisian Arabic,Afro-Asiatic,Semitic,12.97342931,28.94183427,
5,Utae Ehara,Aynu,Hokkaido Ainu,Ainu,Ainu,142.4052062,38.32859001,
6,Joel Maripil,Mapudungun,Mapudungun,Araucanian,Araucanian,-76.04252131,-36.14137869,Saavedra
7,Neddiel Elcie Muñoz Millalonco,Tsesungún,Huilliche,Araucanian,Araucanian,-76.41059031,-45.12566331,Castro
8,Mark Lenini Parselelo,Kiswahili,Swahili,Atlantic-Congo,Bantu,42.11344762,3.999436622,
9,Cristiano Tsope,Ronga,Ronga,Atlantic-Congo,Bantu,32.56745,-25.966213,
10,Florence Nweke,Yoruba,Yoruba,Atlantic-Congo,Defoid,6.039930811,9.100808811,
11,Adwoa Arhine,Fante,Akan,Atlantic-Congo,Tano,1.402672011,2.461715689,
12,Jehoshaphat Philip Sarbah,Twi,Akan,Atlantic-Congo,Tano,-4.335155811,8.857293311,
13,Latyr Sy,Wolof,Wolof,Atlantic-Congo,Wolof,-17.3983563,14.6672047,
14,I putu gede setiawan,Balinese,Balinese,Austronesian,Malayo-Sumbawan,115.23355,-8.67218,
15,Lrawbalrate,Rukai,Rukai,Austronesian,Rukai,120.73176,17.45388738,
16,Suzanne Purdy,Te Reo Māori,Maori,Austronesian,Oceanic,177.5928471,-33.4007584,Auckland
17,Rob Throne,Te Reo Māori,Maori,Austronesian,Oceanic,174.77623,-41.286461,Wellington
18,Aritz Irurtzun,Euskara,Basque,Basque,Basque,-9.835867233,35.37527317,Errenteria
19,Nerea Bello Sagarzazu,Euskara,Basque,Basque,Basque,-4.442997211,40.72140519,Hondarribia
20,Urise Kuikuro,língua Kuikuro,Kuikúro-Kalapálo,Cariban,Cariban,-52.5476,-12.3212,
21,Shantala Hegde,Kannada,Kannada,Dravidian,Dravidian,77.590082,12.9767936,
22,Rytis Ambrazevičius,Lithuanian,Lithuanian,Indo-European,Baltic,25.2829111,54.6870458,
23,Tadhg Ó Meachair,Gaeilge/Irish,Irish,Indo-European,Celtic,-8.906024511,55.99551581,
24,Niels Chr. Hansen,Danish,Danish,Indo-European,Germanic,12.1086079,61.04502352,
25,Mark van Tongeren,Dutch,Dutch,Indo-European,Germanic,7.266051311,54.99681431,Heemstede
26,Kayla Kolff,Dutch,Dutch,Indo-European,Germanic,36.821945,-1.292066,Nairobi
27,Adam Tierney,English,English,Indo-European,Germanic,-88.41531308,38.73048465,"Indiana, USA"
28,Christina Vanden Bosch der Nederlanden,English,English,Indo-European,Germanic,-85.670174,48.25696462,Michigan
29,Patrick Savage,English,English,Indo-European,Germanic,-122.4595563,42.17538431,"Nevada, USA"
30,John McBride,English,English,Indo-European,Germanic,-14.27282393,62.11540393,"Newry, Ireland"
31,William Tecumseh Fitch,English,English,Indo-European,Germanic,-118.0943837,50.39682731,Washington
32,Peter Pfordresher,English,English,Indo-European,Germanic,-69.09928877,30.95778287,"Washington, USA"
33,Yannick Jadoul,Flemish,Dutch,Indo-European,Germanic,-0.895032022,51.2198264,Beveren
34,Felix Haiduk,German,German,Indo-European,Germanic,9.728981589,48.69488079,
35,Ulvhild Færøvik,Norwegian,Norwegian,Indo-European,Germanic,2.676302689,63.03701331,
36,Daniel Fredriksson,Svenska (Swedish),Swedish,Indo-European,Germanic,18.27805721,57.96125549,
37,Emmanouil Benetos,Greek,Greek,Indo-European,Greek,27.78009881,32.69426139,
38,Dhwani P. Sadaphal,Hindi,Hindi,Indo-European,Indic,81.72780691,23.79556471,"Napgur, India"
39,Parimal M. Sadaphal,Marathi,Marathi,Indo-European,Indic,73.8544541,18.521428,
40,Meyha Chhatwal,Punjabi,Eastern Panjabi,Indo-European,Indic,-74.09168338,38.36172238,
41,Ryan Mark David,Urdu,Urdu,Indo-European,Indic,-79.762421,43.731548,
42,Shahaboddin Dabaghi Varnosfaderani,Western Farsi,Western Farsi,Indo-European,Iranian,56.95650282,27.37928508,Isfahan
43,Shafagh Hadavi,Western Farsi,Western Farsi,Indo-European,Iranian,54.03535171,33.04350099,Tehran
44,Manuel Anglada-Tort,Catalan,Catalan,Indo-European,Romance,7.468934822,36.09139128,
45,Pauline Larrouy-Maestri,French,French,Indo-European,Romance,2.034213781,44.35238266,
46,Andrea Ravignani,Italian,Italian,Indo-European,Romance,12.4829321,41.8933203,
47,Violeta Magalhães,Portuguese,Portuguese,Indo-European,Romance,-11.25653971,43.79520251,Porto
48,Camila Bruder,Portuguese,Portuguese,Indo-European,Romance,-46.6333824,-18.25914808,São Paulo
49,Marco Antonio Correa Varella,Portuguese,Portuguese,Indo-European,Romance,-49.27913371,-26.19640201,São Paulo
50,Juan Sebastián Gómez-Cañón,Spanish,Spanish,Indo-European,Romance,-74.0836453,4.6534649,Bogotá
51,Martín Rocamora,Spanish,Spanish,Indo-European,Romance,-53.54555819,-37.55164291,"Montevideo, Uruguay"
52,Javier Silva-Zurita,Spanish,Spanish,Indo-European,Romance,-70.6504502,-33.4377756,"Santiago, Chile"
53,Ignacio Soto-Silva,Spanish,Spanish,Indo-European,Romance,-70.49006319,-43.21898841,Osorno
54,Dilyana Kurdova,Bulgarian,Bulgarian,Indo-European,Slavic,27.9166653,43.2073873,
55,"Aleksandar Arabadjiev, MA",Macedonian,Macedonian,Indo-European,Slavic,22.46184,36.34609738,
56,Wojciech Krzyżanowski,Polish,Polish,Indo-European,Slavic,15.2400451,52.7309926,
57,Polina Proutskova,Russian,Russian,Indo-European,Slavic,30.316229,59.938732,
58,Vanessa Nina Borsan,Slovenian,Slovenian,Indo-European,Slavic,20.07150262,46.25,
59,Olena Shcherbakova,Ukrainian,Ukrainian,Indo-European,Slavic,33.8715451,51.3359821,
60,Diana Hereld,Cherokee,Cherokee,Iroquoian,Southern Iroquoian,-118.242766,34.0536909,
61,Gakuto Chiba,Japanese,Japanese,Japonic,Japanese,139.719223,46.41637631,"Hokkaido, Japan"
62,Shinya Fujii,Japanese,Japanese,Japonic,Japanese,129.9293174,29.78079738,"Hyogo, Japan"
63,Yuto Ozaki,Japanese,Japanese,Japonic,Japanese,137.1137036,33.03708739,"Tokyo, Japan"
64,Naruse Marin,Northern Amami-Oshima,Northern Amami-Oshima,Japonic,,124.0418274,22.95849738,
65,Teona Lomsadze,Georgian,Georgian,Kartvelian,,41.46602979,44.62759821,
66,Sangbuem Choo,Korean,Korean,Koreanic,,126.9782914,37.5666791,
