"","Name","Lang","LangAdditional","Genus","Family","Longitude","Latitude","Place","Flag","ID","FamilyTmp"
"59","Nori Jacoby","Modern Hebrew","Modern Hebrew","Semitic","Afro-Asiatic",37.6632007427832,34.2178077427832,"Jerusalem",1,1,"Afro-Asiatic"
"28","Limor Raviv","Modern Hebrew","Modern Hebrew","Semitic","Afro-Asiatic",32.4099864572168,28.3629349572168,"Tel Aviv",1,2,"Afro-Asiatic"
"44","Iyadh EL KAHLA","Tunisian Arabic","Tunisian Arabic","Semitic","Afro-Asiatic",12.7771677427832,34.4295984572168,"",1,3,"Afro-Asiatic"
"61","Utae Ehara","Aynu","Hokkaido Ainu","Ainu","Ainu",142.208944642783,38.1323284427832,"",1,4,"Ainu"
"77","Neddiel Elcie Muñoz Millalonco","Tsesungún","Huilliche","Araucanian","Araucanian",-76.2143287427832,-44.9294017427832,"Castro",1,5,"Araucanian"
"81","Nozuko Nguqu","IsiXhosa","Xhosa","Bantu","Atlantic-Congo",29.56449,-31.36144,"",1,6,"Atlantic-Congo: Bantu"
"3","Mark Lenini Parselelo","Kiswahili","Swahili","Bantu","Atlantic-Congo",41.7209244855664,3.60691348556636,"",1,7,"Atlantic-Congo: Bantu"
"57","Cristiano Tsope","Ronga","Ronga","Bantu","Atlantic-Congo",32.56745,-25.966213,"",1,8,"Atlantic-Congo: Bantu"
"43","Florence Nweke","Yoruba","Yoruba","Defoid","Atlantic-Congo",5.84366924278318,8.90454724278318,"",1,9,"Atlantic-Congo: Defoid"
"51","Adwoa Arhine","Fante","Akan","Tano","Atlantic-Congo",1.20641044278318,2.65797725721682,"",1,10,"Atlantic-Congo: Tano"
"7","Jehoshaphat Philip Sarbah","Twi","Akan","Tano","Atlantic-Congo",-4.13889424278318,8.66103174278318,"",1,11,"Atlantic-Congo: Tano"
"42","Latyr Sy","Wolof","Wolof","Wolof","Atlantic-Congo",-17.3983563,14.6672047,"",1,12,"Atlantic-Congo: Wolof"
"73","I putu gede setiawan","Balinese","Balinese","Malayo-Sumbawan","Austronesian",115.23355,-8.67218,"",1,13,"Austronesian"
"58","Suzanne Purdy","Te Reo Māori","Maori","Oceanic","Austronesian",174.9470958,-36.04650971,"Auckland",1,14,"Austronesian"
"79","Rob Throne","Te Reo Māori","Maori","Oceanic","Austronesian",174.77623,-41.286461,"Wellington",1,15,"Austronesian"
"30","Nerea Bello Sagarzazu","Euskara","Basque","Basque","Basque",-1.7972459,43.3671565,"Hondarribia",1,16,"Basque"
"32","Urise Kuikuro","língua Kuikuro","Kuikúro-Kalapálo","Cariban","Cariban",-52.5476,-12.3212,"",1,17,"Cariban"
"40","Shantala Hegde","Kannada","Kannada","Dravidian","Dravidian",77.590082,12.9767936,"",1,18,"Dravidian"
"45","Rytis Ambrazevičius","Lithuanian","Lithuanian","Baltic","Indo-European",25.2829111,54.6870458,"",1,19,"Indo-European: Baltic"
"31","Tadhg Ó Meachair","Gaeilge/Irish","Irish","Celtic","Indo-European",-3.81078345721682,50.9002747572168,"",1,20,"Indo-European: Celtic"
"6","Niels Chr. Hansen","Danish","Danish","Germanic","Indo-European",12.1086079,60.6525003855664,"",1,21,"Indo-European: Germanic"
"70","Mark van Tongeren","Dutch","Dutch","Germanic","Indo-European",7.06978974278318,54.8005527427832,"Heemstede",1,22,"Indo-European: Germanic"
"67","Kayla Kolff","Dutch","Dutch","Germanic","Indo-European",31.9229655144336,-6.19104548556636,"Nairobi",1,23,"Indo-European: Germanic"
"41","Adam Tierney","English","English","Germanic","Indo-European",-90.6685412555663,36.4772564744336,"Indiana, USA",1,24,"Indo-European: Germanic"
"71","Christina Vanden Bosch der Nederlanden","English","English","Germanic","Indo-European",-85.670174,42.965462,"Michigan",1,25,"Indo-European: Germanic"
"1","Patrick Savage","English","English","Germanic","Indo-European",-119.813805,39.529633,"Nevada, USA",1,26,"Indo-European: Germanic"
"2","John McBride","English","English","Germanic","Indo-European",-8.78505974278318,56.6276397427832,"Newry, Ireland",1,27,"Indo-European: Germanic"
"62","William Tecumseh Fitch","English","English","Germanic","Indo-European",-77.194527,41.203323,"Pennsylvania",1,28,"Indo-European: Germanic"
"8","Peter Pfordresher","English","English","Germanic","Indo-European",-74.5870529572168,36.4455470572168,"Washington, USA",1,29,"Indo-European: Germanic"
"66","Yannick Jadoul","Flemish","Dutch","Germanic","Indo-European",1.94698085721682,48.7703366572168,"Beveren",1,30,"Indo-European: Germanic"
"13","Felix Haiduk","German","German","Germanic","Indo-European",9.92524315721682,48.8911423572168,"",1,31,"Indo-European: Germanic"
"4","Ulvhild Færøvik","Norwegian","Norwegian","Germanic","Indo-European",2.87256425721682,62.8407517427832,"",1,32,"Indo-European: Germanic"
"29","Daniel Fredriksson","Svenska (Swedish)","Swedish","Germanic","Indo-European",18.0817956427832,58.1575170572168,"",1,33,"Indo-European: Germanic"
"18","Emmanouil Benetos","Greek","Greek","Greek","Indo-European",25.1343475,35.3400127,"",1,34,"Indo-European: Greek"
"11","Dhwani P. Sadaphal","Hindi","Hindi","Indic","Indo-European",79.0820556,21.1498134,"Napgur, India",1,35,"Indo-European: Indic"
"26","Parimal M. Sadaphal","Marathi","Marathi","Indic","Indo-European",73.8544541,18.521428,"",1,36,"Indo-European: Indic"
"72","Meyha Chhatwal","Punjabi","Eastern Panjabi","Indic","Indo-European",-74.4842065144337,48.5522044855664,"",1,37,"Indo-European: Indic"
"78","Ryan Mark David","Urdu","Urdu","Indic","Indo-European",-79.762421,48.6305274855664,"",1,38,"Indo-European: Indic"
"35","Shahaboddin Dabaghi Varnosfaderani","Western Farsi","Western Farsi","Iranian","Indo-European",56.5639796855664,27.7718082144336,"Isfahan",1,39,"Indo-European: Iranian"
"12","Shafagh Hadavi","Western Farsi","Western Farsi","Iranian","Indo-European",53.8390901427832,33.2397625572168,"Tehran",1,40,"Indo-European: Iranian"
"23","Manuel Anglada-Tort","Catalan","Catalan","Romance","Indo-European",7.07641168556636,36.4839144144336,"",1,41,"Indo-European: Romance"
"19","Pauline Larrouy-Maestri","French","French","Romance","Indo-European",4.48370352378318,41.9028929172168,"",1,42,"Indo-European: Romance"
"17","Andrea Ravignani","Italian","Italian","Romance","Indo-European",12.4829321,41.8933203,"",1,43,"Indo-European: Romance"
"52","Violeta Magalhães","Portuguese","Portuguese","Romance","Indo-European",-11.0602781427832,43.5989409427832,"Porto",1,44,"Indo-European: Romance"
"20","Camila Bruder","Portuguese","Portuguese","Romance","Indo-European",-44.1838926572168,-21.1011609572168,"São Paulo",1,45,"Indo-European: Romance"
